Time,Channel,Raw,Enginerring,EngVlaue
26:06.8,115,145, engValue_t,145
26:06.8,115,178, engValue_t,178
26:06.8,115,179, engValue_t,179
26:06.8,115,144, engValue_t,144
26:06.9,115,178, engValue_t,178
26:06.9,115,145, engValue_t,145
26:06.9,115,178, engValue_t,178
26:06.9,115,156, engValue_t,156
26:06.9,115,145, engValue_t,145
26:06.9,115,167, engValue_t,167
26:06.9,115,156, engValue_t,156
26:06.9,115,178, engValue_t,178
26:06.9,115,190, engValue_t,190
26:07.0,115,179, engValue_t,179
26:07.0,115,179, engValue_t,179
26:07.0,115,145, engValue_t,145
26:07.0,115,167, engValue_t,167
26:07.0,115,167, engValue_t,167
26:07.0,115,156, engValue_t,156
26:07.0,115,167, engValue_t,167
26:07.0,115,145, engValue_t,145
26:07.0,115,145, engValue_t,145
26:07.0,115,178, engValue_t,178
26:07.1,115,167, engValue_t,167
26:07.1,115,179, engValue_t,179
26:07.1,115,156, engValue_t,156
26:07.1,115,167, engValue_t,167
26:07.1,115,155, engValue_t,155
26:07.1,115,156, engValue_t,156
26:07.1,115,156, engValue_t,156
26:07.1,115,156, engValue_t,156
26:07.1,115,167, engValue_t,167
26:07.1,115,167, engValue_t,167
26:07.2,115,167, engValue_t,167
26:07.2,115,157, engValue_t,157
26:07.2,115,167, engValue_t,167
26:07.2,115,167, engValue_t,167
26:07.2,115,145, engValue_t,145
26:07.2,115,178, engValue_t,178
26:07.2,115,168, engValue_t,168
26:07.2,115,167, engValue_t,167
26:07.2,115,156, engValue_t,156
26:07.2,115,167, engValue_t,167
26:07.3,115,167, engValue_t,167
26:07.3,115,156, engValue_t,156
26:07.3,115,157, engValue_t,157
26:07.3,115,167, engValue_t,167
26:07.3,115,178, engValue_t,178
26:07.3,115,168, engValue_t,168
26:07.3,115,167, engValue_t,167
26:07.3,115,167, engValue_t,167
26:07.3,115,145, engValue_t,145
26:07.4,115,145, engValue_t,145
26:07.4,115,157, engValue_t,157
26:07.4,115,157, engValue_t,157
26:07.4,115,156, engValue_t,156
26:07.4,115,156, engValue_t,156
26:07.4,115,156, engValue_t,156
26:07.4,115,156, engValue_t,156
26:07.4,115,167, engValue_t,167
26:07.5,115,167, engValue_t,167
26:07.5,115,178, engValue_t,178
26:07.5,115,178, engValue_t,178
26:07.5,115,145, engValue_t,145
26:07.5,115,178, engValue_t,178
26:07.5,115,167, engValue_t,167
26:07.5,115,145, engValue_t,145
26:07.5,115,178, engValue_t,178
26:07.5,115,177, engValue_t,177
26:07.5,115,167, engValue_t,167
26:07.5,115,155, engValue_t,155
26:07.6,115,156, engValue_t,156
26:07.6,115,166, engValue_t,166
26:07.6,115,166, engValue_t,166
26:07.6,115,155, engValue_t,155
26:07.6,115,167, engValue_t,167
26:07.6,115,166, engValue_t,166
26:07.6,115,166, engValue_t,166
26:07.6,115,189, engValue_t,189
26:07.6,115,155, engValue_t,155
26:07.7,115,167, engValue_t,167
26:07.7,115,166, engValue_t,166
26:07.7,115,178, engValue_t,178
26:07.7,115,156, engValue_t,156
26:07.7,115,167, engValue_t,167
26:07.7,115,177, engValue_t,177
26:07.7,115,155, engValue_t,155
26:07.7,115,145, engValue_t,145
26:07.7,115,166, engValue_t,166
26:07.7,115,155, engValue_t,155
26:07.8,115,155, engValue_t,155
26:07.8,115,167, engValue_t,167
