Date,Time,RBoom_Angle,* PRSTiltSensorBin,* PRSTiltSensorEng,NoName
5/9/2023,38:09.3,7.95,2011,77,0
5/9/2023,38:09.6,7.95,2012,78,0
5/9/2023,38:09.9,7.95,2012,78,0
5/9/2023,38:10.2,7.95,2011,77,0
5/9/2023,40:17.3,7.95,2011,77,0
5/9/2023,40:17.4,7.94,2010,76,4
5/9/2023,40:17.6,7.94,2009,75,4
5/9/2023,40:17.9,7.94,2010,76,4
5/9/2023,40:18.1,7.94,2010,76,4
5/9/2023,40:18.4,7.94,2010,76,4
5/9/2023,40:18.7,7.94,2010,76,4
5/9/2023,40:18.9,7.94,2010,76,4
5/9/2023,40:19.2,7.94,2010,76,4
5/9/2023,40:19.6,7.94,2010,76,4
5/9/2023,40:19.7,7.94,2010,76,4
5/9/2023,40:20.0,7.94,2010,76,4
5/9/2023,40:20.2,7.94,2009,75,4
5/9/2023,40:20.5,7.94,2009,75,4
5/9/2023,40:20.8,7.94,2009,75,4
5/9/2023,40:21.0,7.94,2009,75,4
5/9/2023,40:21.3,7.94,2010,76,4
5/9/2023,40:21.5,7.94,2010,76,4
5/9/2023,40:21.8,7.94,2011,77,4
5/9/2023,40:22.1,7.94,2011,77,4
5/9/2023,40:22.3,7.94,2009,75,4
5/9/2023,40:22.5,7.94,2009,75,4
5/9/2023,40:22.9,7.94,2009,75,4
5/9/2023,40:23.1,7.94,2009,75,4
5/9/2023,40:23.4,7.94,2010,76,4
5/9/2023,40:23.6,7.94,2010,76,4
5/9/2023,40:23.9,7.94,2011,77,4
5/9/2023,40:24.2,7.94,2011,77,4
5/9/2023,40:24.4,7.94,2010,76,4
5/9/2023,40:24.6,7.94,2010,76,4
5/9/2023,40:25.0,7.94,2010,76,4
5/9/2023,40:25.1,7.94,2010,76,4
5/9/2023,40:25.5,7.94,2010,76,4
5/9/2023,40:25.7,7.94,2010,76,4
5/9/2023,40:26.0,7.94,2009,75,4
5/9/2023,40:26.2,7.94,2009,75,4
5/9/2023,40:26.5,7.94,2010,76,4
5/9/2023,40:26.7,7.94,2010,76,4
5/9/2023,40:27.0,7.94,2011,77,4
5/9/2023,40:27.3,7.94,2011,77,4
5/9/2023,40:27.5,7.94,2010,76,4
5/9/2023,40:27.8,7.94,2010,76,4
5/9/2023,40:28.0,7.94,2009,75,4
5/9/2023,40:28.3,7.94,2009,75,4
5/9/2023,40:28.6,7.94,2009,75,4
5/9/2023,40:28.8,7.94,2009,75,4
5/9/2023,40:29.1,7.94,2010,76,4
5/9/2023,40:29.3,7.94,2010,76,4
5/9/2023,40:29.6,7.94,2010,76,4
5/9/2023,40:29.9,7.94,2010,76,4
