Date,Time,RBoom_Angle,* PRSTiltSensorBin,* PRSTiltSensorEng,ShearerPosition
5/9/2023,53:54.8,9.91,2029,98,51
5/9/2023,53:55.1,9.91,2029,98,51
5/9/2023,53:55.3,9.91,2029,98,51
5/9/2023,53:55.6,9.91,2029,98,51
5/9/2023,53:55.8,9.91,2029,98,51
5/9/2023,53:56.1,9.91,2029,98,51
5/9/2023,53:56.4,9.91,2029,98,51
5/9/2023,53:56.6,9.91,2029,98,51
5/9/2023,53:56.9,9.91,2029,98,51
5/9/2023,53:57.1,9.91,2030,99,51
5/9/2023,53:57.4,9.91,2030,99,51
5/9/2023,53:57.7,9.91,2030,99,51
5/9/2023,53:57.9,9.91,2030,99,51
5/9/2023,53:58.2,9.91,2029,98,51
5/9/2023,53:58.4,9.91,2029,98,51
5/9/2023,53:58.8,9.91,2029,98,51
5/9/2023,53:59.0,9.91,2029,98,51
5/9/2023,53:59.2,9.91,2029,98,51
5/9/2023,53:59.5,9.91,2029,98,51
5/9/2023,53:59.7,9.91,2030,99,51
5/9/2023,54:00.0,9.91,2030,99,51
5/9/2023,54:00.3,9.91,2030,99,51
5/9/2023,54:00.5,9.91,2030,99,51
5/9/2023,54:00.8,9.91,2029,98,51
5/9/2023,54:01.0,9.91,2029,98,51
5/9/2023,54:01.4,9.91,2029,98,51
5/9/2023,54:01.6,9.91,2029,98,51
5/9/2023,54:01.8,9.91,2029,98,51
5/9/2023,54:02.1,9.91,2029,98,51
5/9/2023,54:02.4,9.91,2029,98,51
5/9/2023,54:02.6,9.91,2029,98,51
5/9/2023,54:02.9,9.91,2029,98,51
5/9/2023,54:03.1,9.91,2029,98,51
5/9/2023,54:03.4,9.91,2029,98,51
5/9/2023,54:03.6,9.91,2029,98,51
5/9/2023,54:03.9,9.91,2030,99,51
5/9/2023,54:04.2,9.91,2030,99,51
5/9/2023,54:04.5,9.91,2030,99,51
5/9/2023,54:04.7,9.91,2030,99,51
5/9/2023,54:05.0,9.91,2030,99,51
5/9/2023,54:05.2,9.91,2030,99,51
5/9/2023,54:05.6,9.91,2030,99,51
5/9/2023,54:05.7,9.91,2030,99,51
5/9/2023,54:06.0,9.91,2030,99,51
5/9/2023,54:06.3,9.91,2030,99,51
5/9/2023,54:06.5,9.91,2031,100,51
5/9/2023,54:06.7,9.91,2031,100,51
5/9/2023,54:07.1,9.91,2030,99,51
5/9/2023,54:07.3,9.91,2030,99,51
5/9/2023,54:07.6,9.91,2029,98,51
5/9/2023,54:07.8,9.91,2029,98,51
5/9/2023,54:08.1,9.91,2030,99,51
5/9/2023,54:08.3,9.91,2030,99,51
5/9/2023,54:08.6,9.91,2029,98,51
5/9/2023,54:08.9,9.91,2029,98,51
5/9/2023,54:09.1,9.91,2029,98,51
5/9/2023,54:09.4,9.91,2029,98,51
5/9/2023,54:09.6,9.91,2029,98,51
5/9/2023,54:09.9,9.9,2029,98,51
5/9/2023,54:10.1,9.94,2029,98,51
5/9/2023,54:10.5,10.37,2030,99,51
5/9/2023,54:10.7,10.3,2032,101,51
5/9/2023,54:10.9,10.07,2032,101,51
5/9/2023,54:11.2,10.28,2033,102,51
5/9/2023,54:11.5,9.75,2033,102,51
5/9/2023,54:11.7,9.95,2029,98,51
5/9/2023,54:11.9,9.67,2029,98,51
5/9/2023,54:12.2,10.11,2038,107,51
5/9/2023,54:12.5,10.17,2038,107,51
5/9/2023,54:12.7,9.79,2036,105,51
5/9/2023,54:13.0,10.13,2036,105,51
5/9/2023,54:13.3,10.09,2028,97,51
5/9/2023,54:13.5,9.78,2028,97,51
5/9/2023,54:13.9,9.84,2028,97,51
5/9/2023,54:14.1,9.8,2028,97,51
5/9/2023,54:14.3,9.62,2031,100,51
5/9/2023,54:14.6,10.08,2031,100,51
5/9/2023,54:14.9,10.34,2029,98,51
5/9/2023,54:15.1,10.49,2029,98,51
5/9/2023,54:15.4,10.55,2030,99,51
5/9/2023,54:15.6,10.15,2030,99,51
5/9/2023,54:15.9,10.44,2030,99,51
5/9/2023,54:16.1,9.64,2030,99,51
5/9/2023,54:16.4,10.04,2036,105,51
5/9/2023,54:16.7,9.96,2036,105,51
5/9/2023,54:16.9,10.31,2029,98,51
5/9/2023,54:17.2,10.02,2029,98,51
5/9/2023,54:17.4,10.12,2034,103,51
5/9/2023,54:17.7,10.2,2034,103,51
5/9/2023,54:18.0,9.78,2034,103,51
5/9/2023,54:18.2,9.75,2034,103,51
5/9/2023,54:18.5,9.33,2032,101,51
5/9/2023,54:18.7,10.22,2032,101,51
5/9/2023,54:19.0,9.98,2033,102,51
5/9/2023,54:19.3,10.19,2033,102,51
5/9/2023,54:19.5,10.05,2036,105,51
5/9/2023,54:19.8,9.84,2036,105,51
5/9/2023,54:20.1,10.35,2031,100,50
5/9/2023,54:20.3,10.07,2031,100,50
5/9/2023,54:20.6,10.08,2031,100,50
5/9/2023,54:20.8,9.63,2031,100,50
5/9/2023,54:21.1,9.68,2030,99,50
5/9/2023,54:21.3,9.63,2030,99,50
5/9/2023,54:21.6,9.99,2026,95,50
5/9/2023,54:21.8,9.95,2026,95,50
5/9/2023,54:22.1,10.34,2022,91,50
5/9/2023,54:22.4,9.96,2022,91,50
5/9/2023,54:22.6,9.74,2024,93,50
5/9/2023,54:22.9,9.7,2024,93,50
5/9/2023,54:23.2,9.63,2027,96,50
5/9/2023,54:23.5,10.4,2027,96,50
5/9/2023,54:23.7,10.14,2029,98,50
5/9/2023,54:23.9,9.82,2029,98,50
5/9/2023,54:24.2,9.74,2028,97,50
5/9/2023,54:24.5,9.61,2028,97,50
5/9/2023,54:24.8,10.06,2031,100,50
5/9/2023,54:25.0,9.86,2031,100,50
5/9/2023,54:25.3,9.52,2031,100,50
5/9/2023,54:25.5,9.98,2031,100,50
5/9/2023,54:25.8,9.85,2032,101,50
5/9/2023,54:26.1,10.07,2032,101,50
5/9/2023,54:26.3,9.75,2030,99,50
5/9/2023,54:26.6,10.07,2030,99,50
5/9/2023,54:26.8,9.93,2028,97,50
5/9/2023,54:27.1,9.95,2028,97,50
5/9/2023,54:27.4,9.93,2025,94,50
5/9/2023,54:27.6,9.93,2025,94,50
5/9/2023,54:27.9,9.31,2024,93,50
5/9/2023,54:28.1,9.72,2024,93,50
5/9/2023,54:28.4,9.91,2028,97,50
5/9/2023,54:28.6,9.55,2028,97,50
5/9/2023,54:28.9,10.67,2030,99,50
5/9/2023,54:29.2,9.95,2030,99,50
5/9/2023,54:29.4,10.3,2031,100,50
5/9/2023,54:29.7,10.1,2031,100,50
